feed_item_id	author	source	text	found	archive
4705048103917125073	Alan Kay		Don't worry about what anybody else is going to do. The best way to predict the future is to invent it.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048110902375785	George Boole	quoted in Iverson's Turing Award Lecture	That language is an instrument of human reason, and not merely a medium for the expression of thought, is a truth generally admitted.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048116864316746	Abelson & Sussman	SICP, preface to the first edition	Programs must be written for people to read, and only incidentally for machines to execute.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048124776112582	William Friedki	in a NYT interview	But the audience is right. They're always, always right. You hear directors complain that the advertising was lousy, the distribution is no good, the date was wrong to open the film. I don't believe that. The audience is never wrong. Never.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048131443048712	Richard Feynman		The imagination of nature is far, far greater than the imagination of man.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048137933352706	E. B. White		The best writing is rewriting.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048144291891668	Ivor Brown	The Heart of England	Modern invention has been a great leveller. A machine may operate far more quickly than a political or economic measure to abolish privilege and wipe out the distinctions of class or finance.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048150153359849	Donald Hall	Poetry and Ambition	If our goal is to write poetry, the only way we are likely to be any good is to try to be as great as the best.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048156688178737	Donald knuth		Premature optimization is the root of all evil (or at least most of it) in programming.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048162729240897	Edsger Dijkstra	CACM, 15:10	Lisp has jokingly been called "the most intelligent way to misuse a computer". I think that description is a great compliment because it transmits the full flavor of liberation: it has assisted a number of our most gifted fellow humans in thinking previously impossible thoughts.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048173321390197	G. M. Trevelyan	"Bias in History"	Many who burnt heretics in the ordinary way of their business were otherwise excellent people.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048179251717251	Jon Bentley and Doug McIlroy		The key to performance is elegance, not battalions of special cases.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048185477680076	AP	AP story on Kansas Board of Education	In addition, the board rewrote the definition of science, so that it is no longer limited to the search for natural explanations of phenomena.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
4705048192668729215	Mark Twain		Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.	http://paulgraham.com/quo.html	https://archive.is/TgYyF
